Comment,Designator,Footprint,JLCPCB Part #,
"10uF","C1,C2,C3","C0603","C19702",
"1N5819WS","D1","SOD-323_L1.8-W1.3-LS2.5-RD","C191023",
"WAFER-PH2.0-2PWB","H1,H2,H3,H4,H5","CONN-SMD_2P-P2.00_XUNPU_WAFER-PH2.0-2PWB","C3029440",
"19-213/Y2C-CQ2R2L/3T(CY)","LED1","LED0603-RD-YELLOW","C72038",
"5.1kΩ","R1,R2","R0603","C23186",
"1kΩ","R3","R0603","C21190",
"10kΩ","R4","R0603","C25804",
"LP5907QMFX-3.8Q1","U1","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL","C132035",
"MCP73831T-2ATI/OT","U2","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","C14879",
"USB3.1C16PFSMT","USBC1","USB-C-SMD_TYPE-C-USB-17","C167321",